FishStock,Year,Agreed TAC
cod.27.6a,1987,22000
cod.27.6a,1988,18430
cod.27.6a,1989,18430
cod.27.6a,1990,16000
cod.27.6a,1991,16000
cod.27.6a,1992,13500
cod.27.6a,1993,14000
cod.27.6a,1994,13000
cod.27.6a,1995,13000
cod.27.6a,1996,13000
cod.27.6a,1997,14000
cod.27.6a,1998,11000
cod.27.6a,1999,11800
cod.27.6a,2000,7480
cod.27.6a,2001,3700
cod.27.6a,2002,4600
cod.27.6a,2003,1808
cod.27.6a,2004,848
cod.27.6a,2005,721
cod.27.6a,2006,613
cod.27.6a,2007,490
cod.27.6a,2008,402
cod.27.6a,2009,302
cod.27.6a,2010,240
cod.27.6a,2011,182
cod.27.6a,2012,0
cod.27.6a,2013,0
cod.27.6a,2014,0
cod.27.6a,2015,0
cod.27.6a,2016,0
cod.27.6a,2017,0
cod.27.6a,2018,0
cod.27.6a,2019,1735
cod.27.6a,2020,1279
cod.27.6a,2021,
cod.27.6a,2022,
had.27.7a,1987,6000
had.27.7a,1988,6000
had.27.7a,1989,6000
had.27.7a,1990,6000
had.27.7a,1991,6000
had.27.7a,1992,6000
had.27.7a,1993,6000
had.27.7a,1994,6000
had.27.7a,1995,6000
had.27.7a,1996,10000
had.27.7a,1997,14000
had.27.7a,1998,20000
had.27.7a,1999,4990
had.27.7a,2000,3400
had.27.7a,2001,2700
had.27.7a,2002,1300
had.27.7a,2003,585
had.27.7a,2004,1500
had.27.7a,2005,1500
had.27.7a,2006,1275
had.27.7a,2007,1179
had.27.7a,2008,1238
had.27.7a,2009,1424
had.27.7a,2010,1424
had.27.7a,2011,1317
had.27.7a,2012,1215
had.27.7a,2013,1189
had.27.7a,2014,1181
had.27.7a,2015,1181
had.27.7a,2016,1654
had.27.7a,2017,2615
had.27.7a,2018,3207
had.27.7a,2019,3739
had.27.7a,2020,
had.27.7a,2021,
her.27.irls,1987,18000
her.27.irls,1988,18000
her.27.irls,1989,20000
her.27.irls,1990,17500
her.27.irls,1991,21000
her.27.irls,1992,21000
her.27.irls,1993,21000
her.27.irls,1994,21000
her.27.irls,1995,21000
her.27.irls,1996,21000
her.27.irls,1997,22000
her.27.irls,1998,22000
her.27.irls,1999,21000
her.27.irls,2000,21000
her.27.irls,2001,20000
her.27.irls,2002,11000
her.27.irls,2003,13000
her.27.irls,2004,13000
her.27.irls,2005,13000
her.27.irls,2006,11000
her.27.irls,2007,9400
her.27.irls,2008,7900
her.27.irls,2009,5900
her.27.irls,2010,10150
her.27.irls,2011,13200
her.27.irls,2012,21100
her.27.irls,2013,17200
her.27.irls,2014,22300
her.27.irls,2015,15700
her.27.irls,2016,15400
her.27.irls,2017,14500
her.27.irls,2018,10100
her.27.irls,2019,4742
her.27.irls,2020,
her.27.irls,2021,
her.27.nirs,1987,4500
her.27.nirs,1988,10500
her.27.nirs,1989,6000
her.27.nirs,1990,7000
her.27.nirs,1991,6000
her.27.nirs,1992,7000
her.27.nirs,1993,7000
her.27.nirs,1994,7000
her.27.nirs,1995,7000
her.27.nirs,1996,7000
her.27.nirs,1997,9000
her.27.nirs,1998,9000
her.27.nirs,1999,6600
her.27.nirs,2000,5400
her.27.nirs,2001,6900
her.27.nirs,2002,4800
her.27.nirs,2003,4800
her.27.nirs,2004,4800
her.27.nirs,2005,4800
her.27.nirs,2006,4800
her.27.nirs,2007,4800
her.27.nirs,2008,4800
her.27.nirs,2009,4800
her.27.nirs,2010,4800
her.27.nirs,2011,5200
her.27.nirs,2012,5280
her.27.nirs,2013,4993
her.27.nirs,2014,5251
her.27.nirs,2015,4854
her.27.nirs,2016,4575
her.27.nirs,2017,4127
her.27.nirs,2018,7016
her.27.nirs,2019,6896
her.27.nirs,2020,
her.27.nirs,2021,
cod.27.7e-k,1987,
cod.27.7e-k,1988,
cod.27.7e-k,1989,
cod.27.7e-k,1990,
cod.27.7e-k,1991,
cod.27.7e-k,1992,
cod.27.7e-k,1993,17500
cod.27.7e-k,1994,17000
cod.27.7e-k,1995,17000
cod.27.7e-k,1996,20000
cod.27.7e-k,1997,20000
cod.27.7e-k,1998,20000
cod.27.7e-k,1999,19000
cod.27.7e-k,2000,16000
cod.27.7e-k,2001,10500
cod.27.7e-k,2002,8700
cod.27.7e-k,2003,
cod.27.7e-k,2004,
cod.27.7e-k,2005,6200
cod.27.7e-k,2006,5580
cod.27.7e-k,2007,4743
cod.27.7e-k,2008,4316
cod.27.7e-k,2009,4023
cod.27.7e-k,2010,4023
cod.27.7e-k,2011,5379
cod.27.7e-k,2012,10059
cod.27.7e-k,2013,10200
cod.27.7e-k,2014,6848
cod.27.7e-k,2015,5072
cod.27.7e-k,2016,4565
cod.27.7e-k,2017,2830
cod.27.7e-k,2018,3076
cod.27.7e-k,2019,1610
cod.27.7e-k,2020,805
cod.27.7e-k,2021,
had.27.7b-k,1987,
had.27.7b-k,1988,
had.27.7b-k,1989,
had.27.7b-k,1990,
had.27.7b-k,1991,
had.27.7b-k,1992,
had.27.7b-k,1993,
had.27.7b-k,1994,
had.27.7b-k,1995,600
had.27.7b-k,1996,700
had.27.7b-k,1997,1400
had.27.7b-k,1998,2000
had.27.7b-k,1999,2200
had.27.7b-k,2000,16600
had.27.7b-k,2001,1200
had.27.7b-k,2002,9300
had.27.7b-k,2003,8185
had.27.7b-k,2004,9600
had.27.7b-k,2005,11520
had.27.7b-k,2006,11520
had.27.7b-k,2007,11520
had.27.7b-k,2008,11579
had.27.7b-k,2009,11579
had.27.7b-k,2010,11579
had.27.7b-k,2011,13316
had.27.7b-k,2012,16645
had.27.7b-k,2013,14148
had.27.7b-k,2014,9479
had.27.7b-k,2015,8342
had.27.7b-k,2016,7258
had.27.7b-k,2017,7751
had.27.7b-k,2018,6910
had.27.7b-k,2019,8329
had.27.7b-k,2020,10859
had.27.7b-k,2021,
had.27.6b,1987,
had.27.6b,1988,
had.27.6b,1989,
had.27.6b,1990,
had.27.6b,1991,
had.27.6b,1992,
had.27.6b,1993,
had.27.6b,1994,
had.27.6b,1995,
had.27.6b,1996,
had.27.6b,1997,
had.27.6b,1998,
had.27.6b,1999,
had.27.6b,2000,
had.27.6b,2001,
had.27.6b,2002,
had.27.6b,2003,
had.27.6b,2004,702
had.27.6b,2005,702
had.27.6b,2006,597
had.27.6b,2007,4615
had.27.6b,2008,6916
had.27.6b,2009,5879
had.27.6b,2010,4997
had.27.6b,2011,3748
had.27.6b,2012,3300
had.27.6b,2013,990
had.27.6b,2014,1210
had.27.6b,2015,2580
had.27.6b,2016,3225
had.27.6b,2017,4690
had.27.6b,2018,5163
had.27.6b,2019,10469
had.27.6b,2020,10472
had.27.6b,2021,
hke.27.3a46-8abd,1987,63500
hke.27.3a46-8abd,1988,66200
hke.27.3a46-8abd,1989,59700
hke.27.3a46-8abd,1990,65100
hke.27.3a46-8abd,1991,67000
hke.27.3a46-8abd,1992,69000
hke.27.3a46-8abd,1993,71500
hke.27.3a46-8abd,1994,60000
hke.27.3a46-8abd,1995,55100
hke.27.3a46-8abd,1996,51100
hke.27.3a46-8abd,1997,60100
hke.27.3a46-8abd,1998,59100
hke.27.3a46-8abd,1999,55100
hke.27.3a46-8abd,2000,42100
hke.27.3a46-8abd,2001,22600
hke.27.3a46-8abd,2002,27000
hke.27.3a46-8abd,2003,30000
hke.27.3a46-8abd,2004,39100
hke.27.3a46-8abd,2005,42600
hke.27.3a46-8abd,2006,43900
hke.27.3a46-8abd,2007,52700
hke.27.3a46-8abd,2008,54000
hke.27.3a46-8abd,2009,51500
hke.27.3a46-8abd,2010,55105
hke.27.3a46-8abd,2011,55105
hke.27.3a46-8abd,2012,55105
hke.27.3a46-8abd,2013,69440
hke.27.3a46-8abd,2014,81846
hke.27.3a46-8abd,2015,90849
hke.27.3a46-8abd,2016,108764
hke.27.3a46-8abd,2017,119765
hke.27.3a46-8abd,2018,111785
hke.27.3a46-8abd,2019,141160
hke.27.3a46-8abd,2020,112903
hke.27.3a46-8abd,2021,
mac.27.nea,1987,442000
mac.27.nea,1988,610000
mac.27.nea,1989,532000
mac.27.nea,1990,562000
mac.27.nea,1991,612000
mac.27.nea,1992,707000
mac.27.nea,1993,767000
mac.27.nea,1994,837000
mac.27.nea,1995,645000
mac.27.nea,1996,452000
mac.27.nea,1997,470000
mac.27.nea,1998,549000
mac.27.nea,1999,562000
mac.27.nea,2000,612000
mac.27.nea,2001,670000
mac.27.nea,2002,683000
mac.27.nea,2003,583000
mac.27.nea,2004,532000
mac.27.nea,2005,422000
mac.27.nea,2006,444000
mac.27.nea,2007,502000
mac.27.nea,2008,458000
mac.27.nea,2009,605000
mac.27.nea,2010,885000
mac.27.nea,2011,959000
mac.27.nea,2012,927000
mac.27.nea,2013,906000
mac.27.nea,2014,1392000
mac.27.nea,2015,1229000
mac.27.nea,2016,1057000
mac.27.nea,2017,1173000
mac.27.nea,2018,998000
mac.27.nea,2019,864000
mac.27.nea,2020,1090879
mac.27.nea,2021,
meg.27.7b-k8abd,1987,16460
meg.27.7b-k8abd,1988,18100
meg.27.7b-k8abd,1989,18100
meg.27.7b-k8abd,1990,18100
meg.27.7b-k8abd,1991,18100
meg.27.7b-k8abd,1992,18100
meg.27.7b-k8abd,1993,21460
meg.27.7b-k8abd,1994,20330
meg.27.7b-k8abd,1995,22590
meg.27.7b-k8abd,1996,21200
meg.27.7b-k8abd,1997,25000
meg.27.7b-k8abd,1998,25000
meg.27.7b-k8abd,1999,20000
meg.27.7b-k8abd,2000,20000
meg.27.7b-k8abd,2001,16800
meg.27.7b-k8abd,2002,14900
meg.27.7b-k8abd,2003,16000
meg.27.7b-k8abd,2004,20200
meg.27.7b-k8abd,2005,21500
meg.27.7b-k8abd,2006,20425
meg.27.7b-k8abd,2007,20425
meg.27.7b-k8abd,2008,20425
meg.27.7b-k8abd,2009,20425
meg.27.7b-k8abd,2010,20425
meg.27.7b-k8abd,2011,20106
meg.27.7b-k8abd,2012,19101
meg.27.7b-k8abd,2013,19101
meg.27.7b-k8abd,2014,19101
meg.27.7b-k8abd,2015,19101
meg.27.7b-k8abd,2016,20056
meg.27.7b-k8abd,2017,15043
meg.27.7b-k8abd,2018,13528
meg.27.7b-k8abd,2019,19836
meg.27.7b-k8abd,2020,20526
meg.27.7b-k8abd,2021,
sol.27.7fg,1987,1600
sol.27.7fg,1988,1100
sol.27.7fg,1989,1000
sol.27.7fg,1990,1200
sol.27.7fg,1991,1200
sol.27.7fg,1992,1200
sol.27.7fg,1993,1100
sol.27.7fg,1994,1100
sol.27.7fg,1995,1100
sol.27.7fg,1996,1000
sol.27.7fg,1997,900
sol.27.7fg,1998,850
sol.27.7fg,1999,960
sol.27.7fg,2000,1160
sol.27.7fg,2001,1020
sol.27.7fg,2002,1070
sol.27.7fg,2003,1240
sol.27.7fg,2004,1050
sol.27.7fg,2005,1000
sol.27.7fg,2006,950
sol.27.7fg,2007,893
sol.27.7fg,2008,964
sol.27.7fg,2009,993
sol.27.7fg,2010,993
sol.27.7fg,2011,1241
sol.27.7fg,2012,1060
sol.27.7fg,2013,1100
sol.27.7fg,2014,1001
sol.27.7fg,2015,851
sol.27.7fg,2016,779
sol.27.7fg,2017,845
sol.27.7fg,2018,920
sol.27.7fg,2019,1009
sol.27.7fg,2020,1652
sol.27.7fg,2021,
whb.27.1-91214,1987,
whb.27.1-91214,1988,
whb.27.1-91214,1989,
whb.27.1-91214,1990,
whb.27.1-91214,1991,
whb.27.1-91214,1992,
whb.27.1-91214,1993,
whb.27.1-91214,1994,650000 
whb.27.1-91214,1995,650000 
whb.27.1-91214,1996,650000 
whb.27.1-91214,1997,
whb.27.1-91214,1998,
whb.27.1-91214,1999,
whb.27.1-91214,2000,
whb.27.1-91214,2001,
whb.27.1-91214,2002,
whb.27.1-91214,2003,
whb.27.1-91214,2004,
whb.27.1-91214,2005,
whb.27.1-91214,2006,2100000 
whb.27.1-91214,2007,1847000 
whb.27.1-91214,2008,1250000 
whb.27.1-91214,2009,606000 
whb.27.1-91214,2010,548000
whb.27.1-91214,2011,40000
whb.27.1-91214,2012,391000
whb.27.1-91214,2013,643000
whb.27.1-91214,2014,1200000
whb.27.1-91214,2015,1260000 
whb.27.1-91214,2016,1147000 
whb.27.1-91214,2017,1675400 
whb.27.1-91214,2018,1727964 
whb.27.1-91214,2019,1483208 
whb.27.1-91214,2020,1478358
whb.27.1-91214,2021,
whg.27.7b-ce-k,1987,18500
whg.27.7b-ce-k,1988,18500
whg.27.7b-ce-k,1989,19300
whg.27.7b-ce-k,1990,24000
whg.27.7b-ce-k,1991,24000
whg.27.7b-ce-k,1992,22000
whg.27.7b-ce-k,1993,22000
whg.27.7b-ce-k,1994,29000
whg.27.7b-ce-k,1995,31000
whg.27.7b-ce-k,1996,28000
whg.27.7b-ce-k,1997,27000
whg.27.7b-ce-k,1998,27000
whg.27.7b-ce-k,1999,25000
whg.27.7b-ce-k,2000,22200
whg.27.7b-ce-k,2001,21000
whg.27.7b-ce-k,2002,31700
whg.27.7b-ce-k,2003,27000
whg.27.7b-ce-k,2004,27000
whg.27.7b-ce-k,2005,21600
whg.27.7b-ce-k,2006,19940
whg.27.7b-ce-k,2007,19940
whg.27.7b-ce-k,2008,19940
whg.27.7b-ce-k,2009,16949
whg.27.7b-ce-k,2010,14407
whg.27.7b-ce-k,2011,16658
whg.27.7b-ce-k,2012,19053
whg.27.7b-ce-k,2013,24500
whg.27.7b-ce-k,2014,19162
whg.27.7b-ce-k,2015,17742
whg.27.7b-ce-k,2016,22778
whg.27.7b-ce-k,2017,27500
whg.27.7b-ce-k,2018,22213
whg.27.7b-ce-k,2019,19184
whg.27.7b-ce-k,2020,10863
whg.27.7b-ce-k,2021,
whg.27.7a,1987,18170
whg.27.7a,1988,18170
whg.27.7a,1989,18170
whg.27.7a,1990,15000
whg.27.7a,1991,10000
whg.27.7a,1992,10000
whg.27.7a,1993,8500
whg.27.7a,1994,9900
whg.27.7a,1995,8000
whg.27.7a,1996,9000
whg.27.7a,1997,7500
whg.27.7a,1998,5000
whg.27.7a,1999,4410
